id,scientificName,taxonRank,kingdom,family,vernacularName,individualCount,lifeStage,longitudeDecimal,latitudeDecimal,continent,country,locality,references,eventDate,year
177160404@OBS,Bucephala albeola,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Bufflehead,1,unknown,-115.616616666667,51.1650433333333,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160404,2019-07-16,2019
177160400@OBS,Anas platyrhynchos,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Mallard,1,unknown,-115.615506666667,51.1656516666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160400,2019-07-16,2019
177160371@OBS,Nucifraga columbiana,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Clark's Nutcracker,1,unknown,-115.521905,51.188765,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160371,2019-07-16,2019
177160334@OBS,Chroicocephalus philadelphia,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Bonaparte's Gull,1,unknown,-126.782931217372,52.3722847522752,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177160334,2019-07-29,2019
177160322@OBS,Nucifraga columbiana,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Clark's Nutcracker,1,unknown,-115.519168333333,51.1887233333333,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160322,2019-07-16,2019
177160291@OBS,Perisoreus canadensis,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Canada Jay,1,unknown,-115.5171,51.1875866666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160291,2019-07-16,2019
177160216@OBS,Zonotrichia leucophrys,species,Animalia,PASSERELLIDAE,White-crowned Sparrow,1,unknown,-115.794108333333,51.08368,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160216,2019-07-15,2019
177160190@OBS,Urocitellus columbianus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Columbian Ground Squirrel,1,unknown,-115.795201666667,51.080525,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160190,2019-07-15,2019
177160174@OBS,Leucosticte tephrocotis,species,Animalia,FINCHES_FRINGILLIDAE,Grey-crowned Rosy Finch,4,unknown,-115.792678333333,51.0738183333333,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160174,2019-07-15,2019
177160156@OBS,Urocitellus columbianus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Columbian Ground Squirrel,1,unknown,-115.790763333333,51.070915,North America,Canada,Mount Assiniboine Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177160156,2019-07-15,2019
